,ward,area,total_eligible,total_votes,year
4673,19,1,3225,1477,2010
3975,1,22,3210,810,2010
5180,28,25,3210,1893,2010
5772,42,18,3189,1539,2010
4,1,8,3058,529,2003
4657,18,17,3010,1026,2010
40,2,1,3008,872,2003
4676,19,5,2968,1403,2010
5814,43,30,2908,827,2010
4685,19,14,2899,1150,2010
4820,22,6,2837,1178,2010
4839,22,27,2837,1309,2010
4140,5,20,2835,1441,2010
1192,27,49,2832,703,2003
149,4,28,2830,1313,2003
2011,2,1,2825,895,2006
769,19,19,2822,990,2003
3869,42,33,2815,1279,2006
4633,17,22,2810,1229,2010
4874,23,11,2803,1066,2010
5201,28,47,2787,1278,2010
4482,13,38,2778,1330,2010
5766,42,12,2776,1138,2010
581,14,20,2772,738,2003
5475,35,18,2768,1176,2010
4883,23,21,2766,1147,2010
4105,4,28,2723,1423,2010
1398,31,36,2716,930,2003
5570,37,30,2712,1196,2010
1274,28,48,2709,1136,2003
4251,8,7,2698,228,2010
793,20,5,2696,944,2003
4553,15,23,2671,1070,2010
1440,32,35,2670,1089,2003
4840,22,30,2667,1234,2010
4320,10,2,2642,1090,2010
4001,2,1,2634,1250,2010
849,21,3,2630,966,2003
5755,42,1,2625,1137,2010
2344,10,2,2606,728,2006
2121,4,28,2605,950,2006
4371,11,9,2591,955,2010
1442,32,37,2589,1138,2003
4184,6,17,2588,1180,2010
2540,14,8,2566,1163,2006
4674,19,3,2565,1107,2010
870,21,27,2552,1024,2003
1172,27,29,2549,412,2003
5355,32,31,2546,1411,2010
5171,28,9,2540,1008,2010
4479,13,34,2530,1423,2010
723,18,4,2519,672,2003
1380,31,15,2518,972,2003
4437,12,34,2517,943,2010
4504,14,7,2504,1288,2010
5491,35,37,2504,1236,2010
797,20,9,2500,974,2003
744,18,26,2493,940,2003
753,19,1,2489,853,2003
222,6,10,2488,670,2003
5797,43,2,2488,1021,2010
1374,31,8,2484,1117,2003
544,13,34,2483,1225,2003
960,23,27,2476,513,2003
789,20,1,2475,1093,2003
4499,14,2,2472,1288,2010
4792,21,18,2470,1301,2010
370,10,2,2458,855,2003
122,4,1,2453,920,2003
1390,31,27,2449,1003,2003
4990,25,12,2445,1111,2010
4628,17,16,2444,887,2010
1747,39,35,2443,757,2003
862,21,18,2441,1116,2003
5593,38,12,2439,958,2010
14,1,22,2437,569,2003
1306,29,14,2433,915,2003
4425,12,19,2431,925,2010
1685,38,12,2417,779,2003
4351,10,44,2417,1117,2010
5293,31,4,2416,1228,2010
5841,44,8,2416,1079,2010
230,6,18,2414,965,2003
5739,41,32,2414,916,2010
198,5,34,2413,910,2003
1091,26,1,2413,1316,2003
4152,5,33,2412,944,2010
4583,16,3,2411,1128,2010
4745,20,32,2407,887,2010
27,1,36,2406,547,2003
5840,44,7,2401,1150,2010
1818,41,15,2398,642,2003
1681,38,6,2393,487,2003
4623,17,10,2391,796,2010
4845,22,36,2391,1235,2010
4664,18,26,2390,1066,2010
1867,42,22,2387,672,2003
1123,26,35,2386,775,2003
1531,34,38,2386,977,2003
4887,23,25,2382,721,2010
2157,5,20,2381,857,2006
4171,6,4,2381,1061,2010
5226,29,3,2380,1178,2010
946,23,11,2378,759,2003
5265,30,16,2377,1322,2010
605,15,2,2376,730,2003
1645,37,11,2376,912,2003
4480,13,36,2376,1297,2010
4726,20,13,2374,1242,2010
712,17,23,2372,786,2003
1509,34,15,2370,654,2003
4327,10,16,2369,847,2010
2734,19,14,2368,713,2006
185,5,20,2367,1072,2003
954,23,19,2366,450,2003
519,13,9,2365,1258,2003
1256,28,28,2362,652,2003
3837,42,1,2359,808,2006
1869,42,24,2358,631,2003
4624,17,12,2356,917,2010
1732,39,16,2354,563,2003
1935,44,7,2350,806,2003
697,17,6,2347,749,2003
1704,38,33,2345,690,2003
4622,17,7,2344,977,2010
891,22,6,2343,842,2003
4717,20,3,2343,1198,2010
1349,30,25,2342,754,2003
4800,21,27,2339,1066,2010
886,22,1,2338,793,2003
4457,13,12,2337,1345,2010
1804,41,1,2334,618,2003
196,5,32,2333,1079,2003
216,6,4,2333,776,2003
4591,16,12,2326,1020,2010
977,23,47,2325,745,2003
4146,5,26,2324,1156,2010
4620,17,5,2322,1097,2010
486,12,19,2320,715,2003
4170,6,2,2319,1095,2010
5360,32,37,2317,1241,2010
5266,30,17,2315,1149,2010
795,20,7,2312,945,2003
1330,30,5,2312,1102,2003
1187,27,44,2311,774,2003
4394,11,33,2311,767,2010
1934,44,6,2310,704,2003
1247,28,19,2309,731,2003
5321,31,36,2308,1064,2010
572,14,10,2306,1019,2003
215,6,3,2305,912,2003
4080,4,1,2305,1092,2010
4399,11,41,2305,1074,2010
548,13,38,2301,1027,2003
1760,40,4,2299,538,2003
4237,7,31,2299,1139,2010
1687,38,14,2296,1044,2003
5563,37,21,2295,880,2010
756,19,4,2291,888,2003
1859,42,13,2291,614,2003
4562,15,34,2290,790,2010
4823,22,9,2290,1141,2010
912,22,27,2288,1036,2003
800,20,12,2282,843,2003
1232,28,1,2280,696,2003
1702,38,31,2280,885,2003
1725,39,9,2278,525,2003
2162,5,26,2275,896,2006
4350,10,42,2275,1092,2010
1957,44,29,2272,979,2003
5687,40,27,2272,1051,2010
1936,44,8,2270,760,2003
694,17,2,2268,677,2003
4454,13,8,2268,1248,2010
4827,22,15,2266,1215,2010
868,21,25,2265,1036,2003
80,3,2,2264,1032,2003
4944,24,21,2262,633,2010
5047,26,27,2262,1328,2010
1783,40,28,2261,992,2003
9,1,17,2260,342,2003
5281,30,34,2260,1120,2010
1823,41,20,2258,563,2003
383,10,16,2257,564,2003
5709,41,1,2257,855,2010
4042,3,4,2256,1024,2010
1317,29,25,2254,744,2003
4752,20,40,2254,984,2010
1909,43,30,2251,488,2003
4675,19,4,2251,1146,2010
5354,32,29,2251,1072,2010
5862,44,29,2250,1089,2010
4186,6,20,2249,797,2010
1413,32,5,2248,683,2003
5609,38,31,2246,1055,2010
82,3,4,2243,930,2003
1563,35,16,2243,716,2003
3388,31,36,2243,850,2006
1692,38,21,2242,846,2003
4138,5,18,2242,1206,2010
4602,16,26,2241,968,2010
5600,38,21,2241,1036,2010
791,20,3,2238,915,2003
4223,7,13,2238,795,2010
197,5,33,2236,513,2003
1572,35,26,2236,666,2003
4455,13,9,2235,1277,2010
236,6,24,2234,826,2003
765,19,14,2234,752,2003
3974,1,20,2234,646,2010
754,19,2,2232,773,2003
1705,38,35,2232,373,2003
4826,22,14,2231,1166,2010
1610,36,26,2227,787,2003
4185,6,18,2227,1073,2010
801,20,13,2223,749,2003
4625,17,13,2221,882,2010
1149,27,5,2220,844,2003
1937,44,9,2219,730,2003
5569,37,28,2218,934,2010
4196,6,30,2217,889,2010
1788,40,33,2216,983,2003
5342,32,16,2215,1041,2010
758,19,6,2212,826,2003
1908,43,27,2212,599,2003
1950,44,22,2212,1003,2003
438,11,16,2211,371,2003
1837,41,34,2211,709,2003
3144,27,18,2211,603,2006
5358,32,35,2211,1162,2010
151,4,30,2210,1032,2003
3767,40,27,2210,831,2006
4526,14,34,2210,1153,2010
4725,20,12,2207,1144,2010
1453,33,2,2206,764,2003
4546,15,11,2206,755,2010
4779,21,2,2206,1090,2010
2846,21,27,2203,905,2006
132,4,11,2200,1117,2003
1423,32,17,2200,914,2003
3925,44,7,2199,696,2006
5303,31,15,2198,1078,2010
1057,25,12,2197,944,2003
848,21,2,2196,1016,2003
4349,10,41,2196,963,2010
1065,25,20,2195,1134,2003
664,16,12,2193,934,2003
828,20,40,2193,896,2003
4506,14,10,2193,1118,2010
5787,42,33,2192,1264,2010
