ward,area,POINT_NAME,long,lat,CTUID
1,1,"Msgr. John Corrigan School, 100 Royalcrest Road, Gym, 1st floor",-79.60502,43.75157864,5350249.03
1,2,"John D. Parker Junior School, 202 Mount Olive Drive, Gym B, 1st Floor",-79.59579,43.7533954,5350249.01
1,3,"St. Angela Catholic School, 220 Mount Olive Drive, Small Gym, 1st Floor",-79.59687,43.75443142,5350249.01
1,8,"North Kipling Community Centre, 2 Rowntree Road, Gym, 1st Floor",-79.5849,43.75177069,5350250.05
1,9,"Platinum on the Humber III, 1 Rowntree Road, Lobby, Basement",-79.58286,43.75120645,5350250.05
1,10,"Platinum on the Humber II, 3 Rowntree Road, Party Room, 1st Floor",-79.58174,43.75041783,5350250.05
1,11,"Platinum on the Humber I, 5 Rowntree Road, PI Party Room, Basement",-79.58078,43.74952937,5350250.05
1,15,"Leisureworld Caregiving Centre, 70 Humberline Drive, Activity Room, 1st Floor",-79.61739,43.7319366,5350248.04
1,17,"St. Andrew Catholic School, 2533 Kipling Avenue, Multi Purpose Room, 1st Floor",-79.58239,43.74493973,5350250.05
1,18,"Smithfield Public School, 175 Mount Olive Drive, Gym, 1st Floor",-79.59576,43.75001972,5350249.04
1,19,"Claireville Junior School, 350 Silverstone Drive, Gym, 1st Floor",-79.59823,43.74785079,5350249.03
1,20,"Highfield Junior School, 85 Mount Olive Drive, Old Gym, 1st Floor",-79.58921,43.74558426,5350249.05
1,22,"Humber College Athletic Centre, 205 Humber College Blvd. Building A, Gym A, 1st Floor",-79.60684,43.72917513,5350248.04
1,23,"Forest Manor, 20/30 Humberline Drive, Party Room, 1st Floor",-79.61487,43.73169001,5350248.04
1,24,"Humberline Place, 10 Humberline Drive, Recreation Room, Basement",-79.6118,43.73124833,5350248.04
1,25,"King's Terrace, 6 Humberline Drive, Party Room, 1st Floor",-79.6109,43.73072084,5350248.04
1,26,"Melody Village Junior Public School, 520 Silverstone Drive, Gym, 1st floor",-79.59485,43.73814334,5350248.03
1,27,"Elmbank Junior Middle Academy, 10 Pittsboro Drive, Gym, 1st floor",-79.59005,43.73651049,5350248.02
1,28,"Beaumonde Heights Jr. Middle School, 70 Monterrey Drive, Gym, 1st Floor",-79.57553,43.74296573,5350250.01
1,29,"Rowntree Manor, 2765 Islington Avenue, Lobby, Basement",-79.56699,43.74357491,5350250.02
1,30,"Thistletown Lutheran Lodge, 2715 Islington Avenue, Recreation Room, 1st Floor",-79.5664,43.74167369,5350250.02
1,31,"St. John Vianney Catholic School, 105 Thistledown Blvd., Gym, 1st Floor",-79.55385,43.7379845,5350250.02
1,32,"Thistletown Multi-Service Centre, 925 Albion Road, Gym, 1st Floor",-79.56258,43.73547907,5350250.02
1,33,"Central Park Lodge, 1145 Albion Road, Bar Lounge, 1st Floor",-79.56776,43.73729984,5350250.01
1,34,"Robert J. Smith Apartments, 121 Kendleton Drive, Auditorium, Basement",-79.58083,43.7376027,5350248.02
1,36,"Greenholme Junior Middle School, 10 Jamestown Crescent, Gym, 1st Floor",-79.58291,43.73508012,5350248.02
1,37,"St. Dorothy Catholic School, 155 John Garland Blvd., Gym, 1st Floor",-79.59174,43.73150129,5350248.05
1,38,"Albion Heights Public School, 45 Lynmont Road, Gym A, 1st Floor",-79.59432,43.73139685,5350248.05
1,39,"Antonio Mazzota Seniors Building, 88 Humber College Blvd., Recreation Room, Basement",-79.59865,43.73173485,5350248.05
1,40,Versa Care Centre,-79.59793,43.72954371,5350248.05
2,1,"Humberwood Community Centre, 850 Humberwood Blvd., Gym A, 1st floor",-79.61919,43.72889445,5350247.01
2,2,"Ascot Co-Operative Community Centre, 920 Queen's Plate Drive, Party Room, 1st floor",-79.60411,43.72014955,5350247.01
2,3,"Martin Grove United Church, 75 Pergola Road, Friendship Hall, Basement",-79.58706,43.725708,5350247.02
2,4,"West Humber Junior Middle School, 15 Delsing Drive, Gym, 1st floor",-79.58008,43.72383481,5350247.02
2,5,"Msgr. Percy Johnson Catholic School, 2170 Kipling Avenue, Gym, 1st floor",-79.57202,43.72070325,5350247.02
2,6,"Rivercrest Junior Public School, 30 Harefield Drive, Gym, 1st floor",-79.56952,43.72972477,5350246
2,7,"Kipling Acres, 2233 Kipling Avenue, Lobby, 1st floor",-79.57189,43.72512809,5350246
2,8,"Thistletown Collegiate Institute, 20 Fordwich Crescent, Gym, 1st floor",-79.56246,43.72773515,5350246
2,9,"Braeburn Junior School, 15 Tandridge Crescent, Gym, 1st floor",-79.54887,43.72803842,5350244.02
2,10,"The Elms Junior Middle School, 45 Golfdown Drive, North Gym, 1st floor",-79.55212,43.72223589,5350244.01
2,11,"The Humberwood, 2 Armel Court, Party Room, Basement",-79.54551,43.72222874,5350244.02
2,12,"Humberset, 238 Albion Road, Boardroom P1, Basement",-79.54374,43.72298616,5350244.02
2,13,"Rio Plaza, 236 Albion Road, Party Room P1, Basement",-79.54395,43.72208805,5350244.02
2,14,"Humber Green Grand Vista, 234 Albion Road, Leisure Room, Basement",-79.54413,43.72119398,5350244.02
2,15,"Elmlea Junior School, 50 Hadrian Drive, Gym, 1st floor",-79.55058,43.71563527,5350244.01
2,16,"Rexdale Presbyterian Church, 2314 Islington Avenue, Auditorium, 1st floor",-79.55626,43.7162998,5350245
2,17,"Mississauga Private School, 30 Barrhead Crescent, Gym, 1st floor",-79.56656,43.71932182,5350245
2,18,"School of Experiential Education, 40 McArthur Street, Gym, 1st floor",-79.54639,43.70164361,5350239
2,20,"Islington 2000, 2000 Islington Avenue, Recreation Centre, Basement",-79.54851,43.69733409,5350243.01
2,21,"Kingsview Village Jr. School, 1 York Road, Gym, Basement",-79.55079,43.69787524,5350243.01
2,22,"St. Maurice Catholic School, 45 Kingsview Blvd., Gym, 1st floor",-79.55394,43.69782135,5350243.01
2,23,"Kingsview Park, 320 Dixon Road, Party Room P1, Basement",-79.55253,43.69683093,5350243.01
2,24,"Humber Heights Long Term Care, 2245 Lawrence Avenue West, Library, 1st floor",-79.52596,43.6971352,5350241
2,25,"Humbervale Place, 1447 Royal York Road, Parkwood Lounge, 1st Floor",-79.52766,43.68652753,5350240.02
2,28,"390 Dixon Road, Room off Lobby, Basement",-79.55768,43.69470435,5350243.01
2,29,"St. Andrew's Presbyterian Church, 1579 Royal York Road, West Room, 1st floor",-79.53362,43.69949485,5350241
2,30,"Mansions of Humberwood, 710 Humberwood Blvd., Party Room, 1st Floor",-79.61657,43.72422495,5350247.01
2,31,"Westmount Junior School, 95 Chapman Road, Gym, 1st floor",-79.51966,43.68910471,5350240.02
2,32,"Westmount Park Church, 1483 Royal York Road, Lounge, 1st floor",-79.52931,43.68956737,5350240.02
2,33,"Highway Terraces Apartments, 2314 Islington Avenue, Terrace Lounge, 1st floor",-79.55626,43.7162998,5350245
3,1,"Briarcrest Junior Public School, 60 Wellesworth Drive, Gym, 1st floor",-79.58008,43.66647435,5350235.01
3,2,"Martingrove Collegiate Institute, 50 Winterton Drive, Gym, 1st floor",-79.56074,43.67339135,5350233
3,3,"John G. Althouse Middle School, 130 Lloyd Manor Road, Gym B, 1st floor",-79.55416,43.66812499,5350233
3,4,"Josyf Cardinal Slipyj School, 35 West Deane Park Drive, Gym, 1st floor",-79.56603,43.65948377,5350234
