ward,ward_name,region
1,Etobicoke North,Etobicoke York
2,Etobicoke North,Etobicoke York
3,Etobicoke Centre,Etobicoke York
4,Etobicoke Centre,Etobicoke York
5,Etobicoke-Lakeshore,Etobicoke York
6,Etobicoke-Lakeshore,Etobicoke York
7,York West,Etobicoke York
8,York West,North York
9,York Centre,North York
10,York Centre,North York
11,York South-Weston,Etobicoke York
12,York South-Weston,Etobicoke York
13,Parkdale-High Park,Etobicoke York
14,Parkdale-High Park,Toronto East York
15,Eglinton-Lawrence,North York
16,Eglinton-Lawrence,North York
17,Davenport,Etobicoke York
18,Davenport,Toronto East York
19,Trinity-Spadina,Toronto East York
20,Trinity-Spadina,Toronto East York
21,St. Paul's,Toronto East York
22,St. Paul's,Toronto East York
23,Willowdale,North York
24,Willowdale,North York
25,Don Valley West,North York
26,Don Valley West,North York
27,Toronto Centre-Rosedale,Toronto East York
28,Toronto Centre-Rosedale,Toronto East York
29,Toronto-Danforth,Toronto East York
30,Danforth,Toronto East York
31,Beaches-East York,Toronto East York
32,Beaches-East York,Toronto East York
33,Don Valley East,North York
34,Don Valley East,North York
35,Scarborough Southwest,Scarborough
36,Scarborough Southwest,Scarborough
37,Scarborough Centre,Scarborough
38,Scarborough Centre,Scarborough
39,Scarborough-Agincourt,Scarborough
40,Scarborough Agincourt,Scarborough
41,Scarborough-Rouge River,Scarborough
42,Scarborough-Rouge River,Scarborough
43,Scarborough East,Scarborough
44,Scarborough East,Scarborough
